2000-01-01 01:04:29 install libwrap0:armhf <none> 7.6.q-25
2000-01-01 01:04:29 status half-installed libwrap0:armhf 7.6.q-25
2000-01-01 01:04:29 status unpacked libwrap0:armhf 7.6.q-25
2000-01-01 01:04:29 status unpacked libwrap0:armhf 7.6.q-25
2000-01-01 01:04:30 install openssl:armhf <none> 1.0.1h-0linaro1
2000-01-01 01:04:30 status half-installed openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:04:34 status unpacked openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:04:34 status unpacked openssl:armhf 1.0.1h-0linaro1
2000-01-01 01:04:35 install ca-certificates:all <none> 20130906ubuntu2
2000-01-01 01:04:35 status half-installed ca-certificates:all 20130906ubuntu2
2000-01-01 01:04:38 status unpacked ca-certificates:all 20130906ubuntu2
2000-01-01 01:04:38 status unpacked ca-certificates:all 20130906ubuntu2
2000-01-01 01:04:39 install krb5-locales:all <none> 1.12+dfsg-2ubuntu4
2000-01-01 01:04:39 status half-installed krb5-locales:all 1.12+dfsg-2ubuntu4
2000-01-01 01:04:39 status unpacked krb5-locales:all 1.12+dfsg-2ubuntu4
2000-01-01 01:04:39 status unpacked krb5-locales:all 1.12+dfsg-2ubuntu4
2000-01-01 01:04:39 install nano:armhf <none> 2.2.6-1ubuntu1
2000-01-01 01:04:39 status half-installed nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:04:41 status unpacked nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:04:41 status unpacked nano:armhf 2.2.6-1ubuntu1
2000-01-01 01:04:41 install openssh-client:armhf <none> 1:6.6p1-2ubuntu1
2000-01-01 01:04:41 status half-installed openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:43 status unpacked openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:43 status unpacked openssh-client:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:44 install wget:armhf <none> 1.15-1ubuntu1
2000-01-01 01:04:44 status half-installed wget:armhf 1.15-1ubuntu1
2000-01-01 01:04:45 status unpacked wget:armhf 1.15-1ubuntu1
2000-01-01 01:04:45 status unpacked wget:armhf 1.15-1ubuntu1
2000-01-01 01:04:45 install xauth:armhf <none> 1:1.0.7-1ubuntu1
2000-01-01 01:04:45 status half-installed xauth:armhf 1:1.0.7-1ubuntu1
2000-01-01 01:04:46 status unpacked xauth:armhf 1:1.0.7-1ubuntu1
2000-01-01 01:04:46 status unpacked xauth:armhf 1:1.0.7-1ubuntu1
2000-01-01 01:04:46 install python-support:all <none> 1.0.15
2000-01-01 01:04:46 status half-installed python-support:all 1.0.15
2000-01-01 01:04:47 status unpacked python-support:all 1.0.15
2000-01-01 01:04:47 status unpacked python-support:all 1.0.15
2000-01-01 01:04:47 install cpuset:all <none> 1.5.6-3
2000-01-01 01:04:47 status half-installed cpuset:all 1.5.6-3
2000-01-01 01:04:48 status unpacked cpuset:all 1.5.6-3
2000-01-01 01:04:48 status unpacked cpuset:all 1.5.6-3
2000-01-01 01:04:48 install ncurses-term:all <none> 5.9+20140118-1ubuntu1
2000-01-01 01:04:48 status half-installed ncurses-term:all 5.9+20140118-1ubuntu1
2000-01-01 01:04:51 status unpacked ncurses-term:all 5.9+20140118-1ubuntu1
2000-01-01 01:04:51 status unpacked ncurses-term:all 5.9+20140118-1ubuntu1
2000-01-01 01:04:51 install openssh-sftp-server:armhf <none> 1:6.6p1-2ubuntu1
2000-01-01 01:04:51 status half-installed openssh-sftp-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:52 status unpacked openssh-sftp-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:52 status unpacked openssh-sftp-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:52 install openssh-server:armhf <none> 1:6.6p1-2ubuntu1
2000-01-01 01:04:52 status half-installed openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:53 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:53 status unpacked openssh-server:armhf 1:6.6p1-2ubuntu1
2000-01-01 01:04:54 install python-chardet:all <none> 2.0.1-2build2
2000-01-01 01:04:54 status half-installed python-chardet:all 2.0.1-2build2
2000-01-01 01:04:59 status unpacked python-chardet:all 2.0.1-2build2
2000-01-01 01:04:59 status unpacked python-chardet:all 2.0.1-2build2
2000-01-01 01:04:59 install python-six:all <none> 1.5.2-1
2000-01-01 01:04:59 status half-installed python-six:all 1.5.2-1
2000-01-01 01:05:00 status unpacked python-six:all 1.5.2-1
2000-01-01 01:05:00 status unpacked python-six:all 1.5.2-1
2000-01-01 01:05:00 install python-urllib3:all <none> 1.7.1-1build1
2000-01-01 01:05:00 status half-installed python-urllib3:all 1.7.1-1build1
2000-01-01 01:05:01 status unpacked python-urllib3:all 1.7.1-1build1
2000-01-01 01:05:01 status unpacked python-urllib3:all 1.7.1-1build1
2000-01-01 01:05:01 install python-requests:all <none> 2.2.1-1
2000-01-01 01:05:01 status half-installed python-requests:all 2.2.1-1
2000-01-01 01:05:02 status unpacked python-requests:all 2.2.1-1
2000-01-01 01:05:02 status unpacked python-requests:all 2.2.1-1
2000-01-01 01:05:02 install tcpd:armhf <none> 7.6.q-25
2000-01-01 01:05:02 status half-installed tcpd:armhf 7.6.q-25
2000-01-01 01:05:02 status unpacked tcpd:armhf 7.6.q-25
2000-01-01 01:05:02 status unpacked tcpd:armhf 7.6.q-25
2000-01-01 01:05:02 install monit:armhf <none> 1:5.6-2
2000-01-01 01:05:02 status half-installed monit:armhf 1:5.6-2
2000-01-01 01:05:03 status unpacked monit:armhf 1:5.6-2
2000-01-01 01:05:04 status unpacked monit:armhf 1:5.6-2
